index,recno,RAJ2000,DEJ2000,Name,Comp,2MASS,Conf,l_Sep,Sep,PA,Date,Tech,r_Sep,DelMag,Filt,r_DelMag,pmRA,pmDE,r_pmRA,plx-DR2,e_plx-DR2,n_plx-DR2,epsi,sepsi,plx-lit,e_plx-lit,r_plx-lit,Gmag,BpRp,Vmag,Rmag,Imag,r_Vmag,Rtmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,n_Kmag,Mass,e_Mass,n_Mass,Memb,SimbadName
448,308,200.51974999999996,-55.01641666666666,L 257-129,,13220473-5500591,,,,,,,,,,,-267.42,-135.24,2018A&A...616A...2L,68.5188,0.1124,,0.13,6.42,66.6,3.8,2018AJ....155..176F,12.2577,2.8967,13.71,12.44,10.83,This Work,,9.296,0.021,8.677,0.034,8.434,0.021,,0.216,0.014,,s,L 257-129
73,239,152.3748333333333,51.28880555555555,LHS 2224,,10092996+5117197,,,,,,,,,,,-439.87,-827.85,2018A&A...616A...2L,75.9839,0.054,,0.12,7.55,75.2,3.2,1995gcts.book.....V,12.18,2.8198,13.48,12.27,10.71,1996AJ....112.2300W,,9.299,0.026,8.714,0.023,8.523,0.021,,0.181,0.014,,s,LHS 2224
368,98,66.636,-30.800499999999996,LHS 5094,,04263264-3048013,,,,,,,,,,,-67.27,-468.66,2018A&A...616A...2L,74.6027,0.0469,,0.2,21.8,75.39,2.9,2017AJ....154..151B,12.4685,3.1386,14.17,12.73,10.99,2015AJ....149....5W,,9.303,0.024,8.718,0.025,8.411,0.019,,0.197,0.014,,s,LHS 5094
160,497,345.71870833333327,43.63769444444444,LSPM 2302+4338,,23025250+4338157,,,,,,,,,,,-137.49,-4.87,2018A&A...616A...2L,77.4407,0.0556,,0.18,17.5,79.5,1.8,2014ApJ...784..156D,12.4081,3.011,,,,,12.6,9.316,0.021,8.783,0.016,8.453,0.016,,0.184,0.014,,s,LSPM J2302+4338
148,458,313.38775,10.617305555555554,LHS 3593,,20533304+1037020,,,,,,,,,,,-492.56,-447.02,2018A&A...616A...2L,77.8446,0.0668,,0.16,11.8,74.73,2.16,2014ApJ...784..156D 1995gcts.book.....V,12.4552,3.0324,13.97,12.67,11.01,1996AJ....112.2300W,,9.348,0.022,8.753,0.028,8.481,0.021,,0.18,0.014,,s,LHS 3593
81,133,90.62158333333332,49.86561111111111,LHS 1809,,06022918+4951561,,,,,,,,,,,67.21,-850.06,2018A&A...616A...2L,104.8903,0.0746,,0.29,30.9,108.99,1.96,2014ApJ...784..156D 1995gcts.book.....V,12.6973,3.4131,14.53,13.04,11.15,1996AJ....112.2300W,,9.35,0.023,8.768,0.029,8.435,0.02,,0.134,0.014,,s,LHS 1809
420,173,114.23616666666665,-30.40455555555555,SCR 0736-3024,,07365666-3024160,,,,,,,,,,,223.84,-361.26,2018A&A...616A...2L,71.9491,0.0444,,0.18,15.4,75.14,1.01,2019AJ....157..216W,12.291,2.8567,13.67,12.42,10.85,2017AJ....153...14W,,9.359,0.024,8.789,0.033,8.495,0.021,,0.196,0.014,,s,SCR J0736-3024
468,448,307.01558333333327,-76.67108333333333,GJ 1251,,20280382-7640164,,,,,,,,,,,723.67,-1242.42,2018A&A...616A...2L,77.699,0.0476,,0.22,29.9,77.4,0.6,2005AJ....129.1954J 2016AJ....152...24W,12.3935,2.9988,13.88,12.58,10.91,2015AJ....149....5W,,9.359,0.022,8.875,0.025,8.6,0.025,,0.169,0.014,,s,GJ 1251
274,264,172.78491666666665,-14.955916666666665,LHS 306,,11310835-1457201,,,,,,,,,,,405.47,-1374.54,2018A&A...616A...2L,87.073,0.1018,,0.34,85.1,86.42,0.5,2005AJ....129.1954J 2007A&A...464..787S 2016AJ....152...24W,12.5728,3.1951,14.19,12.81,11.05,2015AJ....149....5W,,9.359,0.026,8.764,0.044,8.497,0.023,,0.157,0.014,,s,LHS 306
272,260,169.15679166666663,-27.955361111111106,LHS 2385,,11163766-2757186,,,,,,,,,,,-485.92,-802.45,2018A&A...616A...2L,71.1005,0.054,,0.17,16.8,68.4,4.8,2018AJ....155..176F,12.3007,2.8239,13.66,12.45,10.86,This Work,,9.364,0.022,8.909,0.023,8.621,0.019,,0.186,0.014,,s,LHS 2385
405,202,131.16199999999998,-48.08913888888888,LSPM 0844-4805,,08443891-4805218,,,,,,,,,,,-322.11,794.29,2018A&A...616A...2L,68.6586,0.0441,,0.16,11.2,74.4,3.2,2018AJ....155..176F,12.4496,3.0351,14.01,12.67,10.99,This Work,,9.365,0.023,8.81,0.029,8.562,0.023,,0.2,0.014,,s,PM J08446-4805
29,51,33.33595833333333,36.8141111111111,2MA 0213+3648,A,02132062+3648506,AB,,0.217,076,2012,lkydet,2014ApJ...789..102J,2.42,i',2014ApJ...789..102J,65.37,64.88,2018A&A...616A...2L,70.018,0.2041,,0.66,145.0,74.6,3.5,2016AJ....151..160F,12.5543,3.1188,,,,,12.8,9.367,0.022,8.825,0.021,8.518,0.018,J,0.185,0.014,v,s,2MASS J02132062+3648506
340,415,282.4769583333333,18.674666666666663,G 184-31,,18495449+1840295,,,,,,,,,,,-109.3,-278.64,2018A&A...616A...2L,83.883,0.0717,,0.2,18.5,104.4,7.2,2016AJ....151..160F,12.5441,3.1487,,,,,12.8,9.38,0.023,8.815,0.026,8.509,0.018,,0.162,0.014,,s,G 184-31
