index,recno,RAJ2000,DEJ2000,Name,Comp,2MASS,Conf,l_Sep,Sep,PA,Date,Tech,r_Sep,DelMag,Filt,r_DelMag,pmRA,pmDE,r_pmRA,plx-DR2,e_plx-DR2,n_plx-DR2,epsi,sepsi,plx-lit,e_plx-lit,r_plx-lit,Gmag,BpRp,Vmag,Rmag,Imag,r_Vmag,Rtmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,n_Kmag,Mass,e_Mass,n_Mass,Memb,SimbadName
39,4,2.882541666666666,59.14441666666666,LSPM 0011+5908,,00113182+5908400,,,,,,,,,,,-905.7,-1166.8,2018A&A...616A...2L,107.4214,0.0651,,0.55,85.9,108.43,0.49,2014ApJ...784..156D 2009AJ....137..402G 2009AJ....137.4109L,13.4914,3.8302,15.63,13.95,11.91,2019AJ....157..216W,,9.945,0.023,9.393,0.026,9.093,0.021,,0.107,0.014,,s,LSPM J0011+5908
270,283,186.38341666666665,-15.994944444444442,LHS 2557,,12253211-1559418,,,,,,,,,,,-817.52,33.93,2018A&A...616A...2L,77.2467,0.1233,,0.46,93.4,77.86,0.72,2017AJ....154..147D,13.3548,3.4931,15.19,13.76,11.85,2015AJ....149....5W,,9.949,0.026,9.363,0.026,8.998,0.025,,0.14,0.014,,s,LHS 2557
237,177,117.96412499999998,5.549249999999999,LHS 1950,,07515138+0532572,,,,,,,,,,,442.95,-409.87,2018A&A...616A...2L,67.5288,0.0719,,0.45,60.5,69.01,2.04,2014ApJ...784..156D 1995gcts.book.....V,13.1651,3.2223,14.72,13.37,11.62,1996AJ....112.2300W,,9.966,0.023,9.404,0.023,9.089,0.021,,0.154,0.014,,s,LHS 1950
185,423,289.1035416666666,84.22808333333332,LSPM 1916+8413,,19162483+8413411,,,,,,,,,,,-47.15,150.21,2018A&A...616A...2L,70.187,0.0391,,0.41,60.3,88.3,4.3,2016AJ....151..160F,13.2911,3.309,,,,,13.6,9.977,0.024,9.38,0.028,9.058,0.02,,0.15,0.014,,s,PM J19164+8413
79,164,107.79766666666666,43.49947222222222,LHS 1901,A,07111138+4329590,AB,,0.174,220,2005,AO det,2006A&A...460L..19M,0.14,H,2006A&A...460L..19M,380.25,-563.75,1979nltt.book.....L,,,n,,,75.09,0.86,2014ApJ...784..156D 2017ApJS..231...15D 2009AJ....137.4109L,,,,,,,14.1,9.979,0.018,9.467,0.016,9.126,0.018,J,0.109,0.014,v,s,LHS 1901
409,219,138.5725833333333,-41.57719444444444,SCR 0914-4134,,09141746-4134383,,,,,,,,,,,-548.46,535.18,2018A&A...616A...2L,82.382,0.059,,0.49,64.7,83.44,0.7,2019AJ....157..216W,13.2738,3.3314,15.01,13.57,11.72,2011AJ....141...21W,,9.983,0.026,9.423,0.023,9.12,0.023,,0.126,0.014,,s,SCR J0914-4134
28,55,34.29174999999999,35.442361111111104,LHS 1378,,02170993+3526330,,,,,,,,,,,548.44,-260.26,2018A&A...616A...2L,96.7195,0.1109,,0.56,46.9,96.86,0.75,2017AJ....154..147D 2014ApJ...784..156D 1995gcts.book.....V,13.7177,3.9438,15.9,14.19,12.09,1996AJ....112.2300W,,9.983,0.022,9.351,0.021,9.011,0.018,,0.117,0.014,,s,LHS 1378
305,279,185.36137499999998,30.643805555555552,LP 320-416,B,12212673+3038376,AB,,4.5,102,1999,visdet,1979nlcs.book.....L,0.05,Ks,2006AJ....131.1163S,-209.84,-267.24,2018A&A...616A...2L,83.3904,0.0853,,0.52,70.42,,,,13.3518,,,,,,13.7,9.987,0.057,9.44,0.061,9.116,0.037,,0.125,0.014,,s,LP 320-416
104,187,123.43549999999998,79.30319444444443,LHS 1993,,08134450+7918114,,,,,,,,,,,-351.13,-407.79,2018A&A...616A...2L,66.8204,0.0792,,0.57,98.7,71.7,4.3,2014ApJ...784..156D,13.2193,3.1939,14.8,13.45,11.67,1996AJ....112.2300W,,10.011,0.027,9.498,0.032,9.128,0.023,,0.153,0.014,,s,LHS 1993
415,181,118.72849999999998,-38.16049999999999,SCR 0754-3809,,07545484-3809381,,,,,,,,,,,-75.87,367.53,2018A&A...616A...2L,80.1219,0.0805,,0.55,77.1,80.47,0.94,2019AJ....157..216W,13.5349,3.5872,15.46,13.91,11.98,2011AJ....141...21W,,10.012,0.024,9.418,0.024,9.077,0.019,,0.131,0.014,,s,SCR J0754-3809
43,18,12.356833333333332,65.30105555555555,2MA 0049+6518,,00492565+6518038,,,,,,,,,,,-813.77,-178.39,2018A&A...616A...2L,69.8781,0.058,,0.46,60.9,,,,13.2476,3.2003,,,,,13.5,10.017,0.023,9.511,0.028,9.217,0.019,,0.14,0.014,,s,2MASS J00492565+6518038
45,90,61.65520833333333,79.26708333333332,LHS 1629,,04063732+7916012,,,,,,,,,,,277.24,-404.46,2018A&A...616A...2L,73.9121,0.0626,,0.52,85.5,78.5,3.5,2014ApJ...784..156D,13.3968,3.4454,,,,,13.7,10.034,0.027,9.486,0.028,9.194,0.021,,0.134,0.014,,s,LHS 1629
267,290,189.90179166666664,-26.969749999999998,LHS 2597,,12393641-2658111,,,,,,,,,,,-585.4,-188.44,2018A&A...616A...2L,91.1052,0.0905,,0.48,59.5,100.0,6.3,2018AJ....155..176F,13.4178,3.4887,15.37,13.81,11.88,This Work,,10.042,0.026,9.581,0.024,9.233,0.023,,0.114,0.014,,s,LHS 2597
471,493,340.49212499999993,-69.169,LHS 3844,,22415815-6910089,,,,,,,,,,,334.35,-726.97,2018A&A...616A...2L,67.1548,0.0506,,0.41,48.8,,,,13.3925,3.3995,15.26,13.74,11.88,2019ApJ...871L..24V,,10.046,0.023,9.477,0.023,9.145,0.023,,0.151,0.014,,s,LHS 3844
273,250,161.12166666666664,-18.635305555555554,LHS 2303,,10442927-1838063,,,,,,,,,,,-656.3,-410.92,2018A&A...616A...2L,77.2705,0.1263,,0.44,35.1,89.3,6.1,2018AJ....155..176F,13.0728,3.0169,14.51,13.25,11.58,1996AJ....112.2300W,,10.057,0.022,9.553,0.024,9.291,0.019,,0.125,0.014,,s,LHS 2303
304,280,185.36274999999998,30.643277777777772,LP 320-416,A,12212705+3038357,AB,,4.5,102,1999,visdet,1979nlcs.book.....L,0.05,Ks,2006AJ....131.1163S,-191.15,-253.63,2018A&A...616A...2L,83.3084,0.0792,,0.47,59.83,,,,13.4572,3.5265,,,,,13.8,10.057,0.036,9.454,0.033,9.169,0.024,,0.123,0.014,,s,LP 320-416
285,311,202.62941666666663,19.15947222222222,GJ 1171,,13303106+1909340,,,,,,,,,,,-503.64,-1283.41,2018A&A...616A...2L,66.7531,0.0813,,0.55,93.7,68.7,4.4,1995gcts.book.....V,13.2192,3.1227,14.71,13.39,11.69,1996AJ....112.2300W,,10.065,0.022,9.543,0.032,9.221,0.022,,0.146,0.014,,s,GJ 1171
97,192,126.46979166666665,69.03349999999999,LHS 246,,08255285+6902016,,,,,,,,,,,-701.55,-1281.41,2018A&A...616A...2L,75.5531,0.5836,,1.75,654.0,84.02,2.32,2014ApJ...784..156D 2013MNRAS.435.1083K 1995gcts.book.....V,13.6626,3.7509,15.78,14.1,12.09,2019AJ....157..216W,,10.078,0.021,9.496,0.019,9.161,0.014,,0.134,0.014,,s,LHS 246
8,60,39.18387499999999,22.673916666666663,G 36-26,,02364412+2240265,,,,,,,,,,,-37.76,-374.55,2018A&A...616A...2L,68.5179,0.0718,,0.38,30.3,71.0,4.0,2014ApJ...784..156D,13.4692,3.406,,,,,13.8,10.081,0.018,9.52,0.019,9.194,0.018,,0.144,0.014,,s,G 36-26
114,315,207.05591666666663,23.6135,GJ 1179,B,13481341+2336486,AB,,198.5,052,2003,visdet,2005ApJS..161..394F,,,,-1482.68,122.48,2018A&A...616A...2L,84.1796,0.0706,,0.49,82.2,82.9,2.2,1995gcts.book.....V,13.4669,3.545,15.32,13.83,11.87,1996AJ....112.2300W,,10.082,0.024,9.506,0.031,9.179,0.021,,0.122,0.014,,s,GJ 1179 B
70,261,169.87754166666664,46.69533333333332,LHS 2395,,11193058+4641437,,,,,,,,,,,308.22,-608.69,2018A&A...616A...2L,95.3162,0.3966,,0.87,171.0,97.0,2.6,2014ApJ...784..156D,13.6755,3.833,15.78,14.1,12.02,1996AJ....112.2300W,,10.087,0.022,9.534,0.021,9.199,0.017,,0.112,0.014,,s,LHS 2395
108,332,218.0354583333333,8.192027777777776,LHS 2935,,14320849+0811313,,,,,,,,,,,-476.95,10.09,2018A&A...616A...2L,78.3186,0.1078,,0.56,62.3,77.38,0.99,2019AJ....157..216W,13.6792,3.6767,15.68,14.08,12.09,2017AJ....153...14W,,10.108,0.024,9.529,0.021,9.166,0.021,,0.129,0.014,,s,LHS 2935
247,103,69.88179166666666,16.261944444444442,LHS 1690,,04393163+1615447,,,,,,,,,,,-77.93,-795.37,2018A&A...616A...2L,83.8988,0.0713,,0.42,74.0,86.63,2.05,2014ApJ...784..156D 2009AJ....137.4109L,13.5724,3.6009,15.57,13.97,12.01,2019AJ....157..216W,,10.139,0.024,9.532,0.022,9.194,0.018,,0.122,0.014,,s,LHS 1690
431,175,115.08070833333332,-17.41275,GJ 283,B,07401922-1724449,AB,,20.56,279,1998,visdet,2006AJ....131.1163S,3.29,Ks,2006AJ....131.1163S,1152.38,-536.54,2018A&A...616A...2L,109.0542,0.0827,,0.64,146.0,109.45,0.51,2005AJ....130..337C 2005AJ....130..337C 2017AJ....154...32S 2017AJ....154...32S 1995gcts.book.....V,13.9789,4.3916,16.54,14.68,12.43,1990A&AS...83..357B,,10.155,0.022,9.628,0.023,9.291,0.021,,0.101,0.014,,s,GJ 283 B
261,106,75.32508333333332,22.616888888888887,LSPM 0501+2237,,05011802+2237015,,,,,,,,,,,-62.48,-351.18,2018A&A...616A...2L,69.8453,0.1048,,0.55,67.6,73.7,3.2,2014ApJ...784..156D,13.5972,3.5105,,,,,14.0,10.161,0.02,9.591,0.02,9.232,0.017,,0.139,0.014,,s,LSPM J0501+2237
40,78,52.703708333333324,54.23197222222222,LSPM 0330+5413,,03304890+5413551,,,,,,,,,,,-152.16,-3.73,2018A&A...616A...2L,95.2922,0.0847,,0.56,74.3,101.15,1.2,2014ApJ...784..156D 2009AJ....137.4109L,13.737,3.8261,15.89,14.21,12.16,2019AJ....157..216W,,10.173,0.021,9.595,0.016,9.284,0.018,,0.109,0.014,,s,LSPM J0330+5413
224,126,85.55295833333332,-5.465444444444444,GJ 2045,,05421271-0527567,,,,,,,,,,,-157.33,956.66,2018A&A...616A...2L,77.0157,0.0638,,0.4,40.3,79.58,1.15,2005AJ....130..337C 2012ApJ...752...56F 2005AJ....129.1954J 1995gcts.book.....V,13.5003,3.4512,15.29,13.81,11.92,2005AJ....129.1954J,,10.206,0.023,9.694,0.023,9.371,0.019,,0.122,0.014,,s,GJ 2045
137,335,224.47391666666664,56.65680555555555,GJ 1187,,14575374+5639242,,,,,,,,,,,280.18,-646.67,2018A&A...616A...2L,87.2193,0.0594,,0.54,69.8,94.44,3.45,2014ApJ...784..156D 1995gcts.book.....V,13.5923,3.593,15.53,13.99,12.0,1996AJ....112.2300W,,10.207,0.029,9.635,0.029,9.269,0.02,,0.116,0.014,,s,GJ 1187
213,15,8.981333333333332,10.476527777777775,GJ 1014,,00355557+1028352,,,,,,,,,,,1085.01,-384.93,2018A&A...616A...2L,69.4698,0.0731,,0.45,82.7,70.2,3.25,2014ApJ...784..156D 1995gcts.book.....V,13.5836,3.4093,15.32,13.88,12.02,1996AJ....112.2300W,,10.222,0.023,9.656,0.03,9.367,0.023,,0.132,0.014,,s,GJ 1014
129,300,196.70949999999996,30.848361111111107,LHS 2674a,,13065025+3050549,,,,,,,,,,,182.04,-474.66,2018A&A...616A...2L,70.8972,0.0596,,0.42,58.1,55.0,4.4,2014ApJ...784..156D,13.6314,3.4865,,,,,14.0,10.226,0.022,9.619,0.016,9.315,0.017,,0.133,0.014,,s,LHS 2674a
438,328,215.58112499999996,-70.39363888888887,LSPM 1422-7023,,14221943-7023371,,,,,,,,,,,-793.59,-418.29,2018A&A...616A...2L,77.7599,0.065,,0.51,63.8,,,,13.5874,3.4468,,,,,13.9,10.229,0.022,9.673,0.02,9.374,0.02,,0.121,0.014,,s,PM J14223-7023
404,191,125.69945833333331,-57.4458611111111,LHS 2004,C,08224787-5726451,AB-C,,8.429,026,2008,visdet,2010A&A...520A..54B,1.55,Ks,2006AJ....131.1163S,-371.15,437.05,2018A&A...616A...2L,77.4495,0.0706,,0.61,79.3,84.2,5.4,2018AJ....155..176F,13.9018,3.7809,,,,,14.4,10.256,0.029,9.744,0.031,9.348,0.029,,0.122,0.014,,s,LHS 2004
462,350,238.18587499999995,-26.387138888888884,LHS 5303,,15524460-2623134,,,,,,,,,,,211.61,-452.79,2018A&A...616A...2L,94.1554,0.1705,,0.79,148.0,94.63,0.7,2014AJ....147...94D,14.1005,4.1002,16.53,14.66,12.49,2014AJ....147...94D,,10.258,0.021,9.676,0.022,9.315,0.021,,0.109,0.014,,s,LHS 5303
64,236,150.20929166666664,31.92922222222222,GJ 376,B,10005030+3155459,BC,,1.0,,,,Winters; in prep,,,,-526.83,-431.4,2018A&A...616A...2L,68.8826,0.6474,,2.82,1540.0,66.49,0.31,2014ApJ...784..156D 1995gcts.book.....V 2007A&A...474..653V,14.13,4.0994,,,,,14.8,10.261,0.018,9.643,0.016,9.275,0.018,J,0.111,0.014,v,s,GJ 376
412,247,160.67229166666664,-24.268027777777775,LP 848-50,A,10424135-2416050,AB,,0.99,...,2016,astdet,2017AJ....153...14W,,,,40.78,156.58,2018A&A...616A...2L,96.1493,0.4686,,2.54,1240.0,94.11,1.3,2019AJ....157..216W,14.0915,4.1066,16.53,14.6,12.47,2017AJ....153...14W,,10.277,0.026,9.672,0.024,9.338,0.021,J,0.101,0.014,v,s,LP 848-50
112,340,233.8347083333333,17.717916666666664,GJ 589,B,15352039+1743045,AB,,17.74,351,1999,visdet,2006AJ....131.1163S,2.6,V,1990A&AS...83..357B,-1209.62,-170.83,2018A&A...616A...2L,66.8409,0.0716,,0.54,72.5,68.2,1.41,2014ApJ...784..156D 2014ApJ...784..156D 1995gcts.book.....V,13.4493,3.1357,14.94,13.56,11.82,1990A&AS...83..357B,,10.282,0.022,9.8,0.02,9.519,0.02,,0.129,0.014,,s,GJ 589 B
218,9,5.1225,33.085111111111104,LHS 112,,00202922+3305081,,,,,,,,,,,1075.52,-863.65,2018A&A...616A...2L,81.6314,0.1169,,0.52,69.4,84.97,2.33,2014ApJ...784..156D 1995gcts.book.....V,13.961,3.882,16.09,14.41,12.36,1996AJ....112.2300W,,10.284,0.021,9.691,0.022,9.33,0.018,,0.119,0.014,,s,LHS 112
359,117,81.87741666666666,-51.48772222222222,LEHPM 2-1009,,05273058-5129158,,,,,,,,,,,-33.21,325.32,2018A&A...616A...2L,68.581,0.0514,,0.46,57.7,68.5,5.8,2018AJ....155..176F,13.7311,3.505,,,,,14.1,10.306,0.022,9.796,0.022,9.46,0.021,,0.129,0.014,,s,LEHPM 1009
402,198,129.5093333333333,-58.93297222222221,SCR 0838-5855,A,08380224-5855583,AB,,0.99,...,2016,astdet,2017AJ....153...14W,,,,-61.81,-317.82,2018A&A...616A...2L,90.0357,0.2227,,2.19,998.0,92.55,0.75,2019AJ....157..216W,14.4115,4.4973,17.19,15.08,12.78,2015AJ....149....5W,,10.309,0.024,9.709,0.024,9.268,0.021,J,0.106,0.014,w,s,SCR J0838-5855
406,244,159.56324999999998,-49.56238888888888,LSPM 1038-4933,,10381517-4933446,,,,,,,,,,,-317.6,-565.29,2018A&A...616A...2L,69.0953,0.0649,,0.46,53.9,87.7,5.1,2018AJ....155..176F,13.5199,3.2662,,,,,13.8,10.312,0.024,9.722,0.022,9.43,0.021,,0.13,0.014,,s,PM J10382-4933
163,465,321.13466666666665,40.06661111111111,LSPM 2124+4003,,21243234+4003599,,,,,,,,,,,542.43,439.07,2018A&A...616A...2L,68.8433,0.0711,,0.6,93.0,66.69,1.32,2009AJ....137..402G,13.9215,3.6727,15.97,14.35,12.38,2019AJ....157..216W,,10.339,0.022,9.74,0.028,9.431,0.025,,0.13,0.014,,s,LSPM J2124+4003
353,127,88.36016666666666,-71.56380555555555,LMC 194.6.41,,05532643-7133502,,,,,,,,,,,12.11,397.04,2018A&A...616A...2L,87.5608,0.0524,,0.57,77.5,,,,14.1122,4.0453,16.67,14.74,12.57,This Work,,10.345,0.024,9.776,0.025,9.358,0.021,,0.113,0.014,,s,OGLE LMC 194.6 41
306,385,266.6694166666666,-32.23455555555555,SCR 1746-3214,,17464063-3214045,,,,,,,,,,,205.39,102.97,2018A&A...616A...2L,82.9169,0.1054,,0.52,34.7,87.01,1.36,2019AJ....157..216W,13.9734,3.8273,16.15,14.47,12.4,2015AJ....149....5W,,10.35,0.024,9.739,0.025,9.381,0.023,,0.116,0.014,,s,SCR J1746-3214
446,355,246.71537499999997,-38.20905555555555,SCR 1626-3812,,16265168-3812326,,,,,,,,,,,-296.04,-258.73,2018A&A...616A...2L,71.4162,0.1154,,0.59,50.8,69.49,1.09,2019AJ....157..216W,13.9019,3.6062,15.75,14.23,12.29,2015AJ....149....5W,,10.365,0.024,9.8,0.024,9.443,0.019,,0.126,0.014,,s,SCR J1626-3812
253,129,89.23849999999999,11.742555555555555,LSPM 0556+1144,,05565722+1144333,,,,,,,,,,,523.17,-342.56,2018A&A...616A...2L,70.1613,0.116,,0.58,50.4,76.0,1.7,2014ApJ...784..156D,13.8269,3.5918,,,,,14.2,10.369,0.026,9.821,0.026,9.496,0.025,,0.125,0.014,,s,LSPM J0556+1144
388,79,53.91087499999999,-8.489638888888887,LHS 176,,03353849-0829223,,,,,,,,,,,1520.91,-321.64,2018A&A...616A...2L,76.5611,0.1322,,0.77,131.0,76.62,0.51,2017AJ....154..147D 2011AJ....141..117J,13.8698,3.6673,15.92,14.3,12.31,2011AJ....141..117J,,10.377,0.022,9.801,0.022,9.456,0.019,,0.119,0.014,,s,LHS 176
20,77,50.75733333333333,42.00747222222222,GJ 1059,,03230175+4200269,,,,,,,,,,,274.87,-688.35,2018A&A...616A...2L,67.699,0.0787,,0.46,53.6,68.9,2.64,2014ApJ...784..156D 1995gcts.book.....V,13.6373,3.3435,15.31,13.9,12.05,1996AJ....112.2300W,,10.389,0.019,9.857,0.03,9.599,0.024,,0.124,0.014,,s,GJ 1059
470,494,340.49745833333327,-75.00916666666666,LEHPM 1-5031,,22415937-7500329,,,,,,,,,,,-76.0,217.11,2018A&A...616A...2L,80.4417,0.0717,,0.6,93.9,,,,13.943,3.672,16.08,14.41,12.39,This Work,,10.429,0.022,9.897,0.022,9.6,0.021,,0.111,0.014,,s,LEHPM 5031
355,56,34.368541666666665,-59.378805555555545,WT 84,,02172845-5922435,,,,,,,,,,,-243.65,-462.53,2018A&A...616A...2L,68.0804,0.0555,,0.5,61.9,76.61,3.02,2005AJ....130..337C,13.8321,3.4957,15.67,14.19,12.25,2005AJ....130..337C,,10.438,0.026,9.868,0.021,9.542,0.019,,0.126,0.014,,s,WT 84
350,386,267.8981666666666,37.826472222222215,LP 278-42,,17513557+3749347,,,,,,,,,,,-89.88,349.32,2018A&A...616A...2L,67.7138,0.0612,,0.54,74.3,76.3,2.8,2014ApJ...784..156D,14.0917,3.7078,,,,,14.6,10.442,0.02,9.839,0.02,9.496,0.018,,0.129,0.014,,s,LP 278-42
374,14,8.306249999999999,-47.554583333333326,L 291-115,,00331349-4733165,,,,,,,,,,,277.06,142.23,2018A&A...616A...2L,68.4662,0.0635,,0.55,97.0,77.0,7.3,2018AJ....155..176F,13.8764,3.5341,,,,,14.3,10.445,0.022,9.828,0.024,9.538,0.022,,0.126,0.014,,s,L 291-115
474,417,283.9495416666666,-69.23752777777777,SCR 1855-6914,,18554792-6914153,,,,,,,,,,,458.96,-693.19,2018A&A...616A...2L,86.1196,0.0784,,0.55,80.6,86.64,0.71,2019AJ....157..216W,14.2529,4.0565,16.61,14.79,12.66,2011AJ....141...21W,,10.466,0.021,9.877,0.021,9.512,0.021,,0.109,0.014,,s,SCR J1855-6914
494,406,280.29087499999997,-43.79244444444444,SCR 1841-4347,,18410977-4347327,,,,,,,,,,,-796.91,-85.48,2018A&A...616A...2L,79.8346,0.1014,,0.63,54.4,82.13,0.67,2019AJ....157..216W,14.1635,4.001,16.46,14.72,12.59,2011AJ....141...21W,,10.477,0.023,9.939,0.026,9.603,0.021,,0.111,0.014,,s,SCR J1841-4347
216,506,354.3999583333333,16.367555555555555,LP 463-23,,23373601+1622031,,,,,,,,,,,361.16,-63.2,2018A&A...616A...2L,72.9284,0.11,,0.57,96.5,75.3,5.4,2014ApJ...784..156D,14.0219,3.6904,,,,,14.4,10.479,0.027,9.892,0.033,9.616,0.022,,0.117,0.014,,s,LP 463-23
198,52,33.55233333333333,-3.9621111111111107,LHS 1363,,02141251-0357434,,,,,,,,,,,509.3,-156.26,2018A&A...616A...2L,80.0531,0.1805,,0.71,63.7,82.13,1.14,2017AJ....154..151B,14.1714,3.9335,16.44,14.71,12.62,2015AJ....149....5W,,10.481,0.024,9.858,0.021,9.485,0.02,,0.115,0.014,,s,LHS 1363
117,362,251.63137499999996,34.581999999999994,LHS 3241,,16463154+3434554,,,,,,,,,,,-383.67,-383.39,2018A&A...616A...2L,83.9869,0.0775,,0.69,107.0,84.3,0.74,2014ApJ...784..156D 2009AJ....137..402G,14.3052,4.1977,16.81,14.93,12.75,2019AJ....157..216W,,10.533,0.018,9.968,0.017,9.606,0.02,,0.108,0.014,,s,LHS 3241
434,218,136.686625,-8.807083333333333,GJ 334,B,09064481-0848256,AB,,8.4,264,2015,visdet,2019yCat....102026M,4.0,Ks,2006AJ....131.1163S,-308.74,215.12,2018A&A...616A...2L,69.156,0.0825,,0.46,41.01,69.12,1.24,1995gcts.book.....V 2007A&A...474..653V,14.562,3.9683,,,,,15.2,10.554,0.05,9.924,0.04,9.758,0.019,,0.116,0.014,,s,GJ 334
5,87,58.692541666666656,24.273527777777776,LP 357-56,,03544620+2416246,,,,,,,,,,,-293.77,-221.82,2018A&A...616A...2L,75.4159,0.1892,,0.85,148.0,72.5,3.9,2014ApJ...784..156D,14.394,3.9945,,,,,15.0,10.585,0.019,9.944,0.026,9.574,0.021,,0.116,0.014,,s,LP 357-56
314,402,276.0982916666666,-5.613666666666666,WIS 1824-0536,,18242359-0536488,,,,,,,,,,,50.82,-447.63,2018A&A...616A...2L,75.504,0.0998,,0.62,40.8,,,,14.4473,4.0434,,,,,15.1,10.6,0.024,10.034,0.026,9.62,0.024,,0.115,0.014,,s,WISEA J182423.61-053653.6
443,374,259.72729166666664,-41.52780555555555,LSPM 1718-4131,,17185456-4131395,,,,,,,,,,,-220.05,-911.54,2018A&A...616A...2L,88.7885,0.1768,,0.63,71.8,,,,14.5783,4.3353,,,,,15.3,10.613,0.021,10.001,0.023,9.621,0.021,,0.104,0.014,,s,PM J17189-4131
400,150,100.61320833333332,-67.12216666666666,SCR 0642-6707,,06422703-6707193,,,,,,,,,,,697.7,-408.94,2018A&A...616A...2L,74.1265,0.0663,,0.57,67.5,73.38,1.03,2019AJ....157..216W,14.0038,3.6769,16.01,14.43,12.42,2011AJ....141...21W,,10.615,0.026,10.151,0.021,9.807,0.019,,0.11,0.014,,s,SCR J0642-6707
168,441,300.02374999999995,30.95894444444444,LSPM 2000+3057,,20000565+3057300,,,,,,,,,,,377.47,1279.05,2018A&A...616A...2L,85.8148,0.0781,,0.66,96.1,,,,14.3259,4.0647,,,,,14.8,10.674,0.022,10.114,0.021,9.778,0.018,,0.102,0.014,,s,LSPM J2000+3057
379,72,45.52649999999999,-39.84775,LHS 1490,,03020638-3950516,,,,,,,,,,,-546.5,-644.22,2018A&A...616A...2L,70.1016,0.0623,,0.52,63.1,70.77,1.62,2017AJ....154..191J,14.0158,3.4815,15.87,14.35,12.44,2015AJ....149....5W,,10.705,0.021,10.178,0.025,9.885,0.023,,0.111,0.014,,s,LHS 1490
36,3,2.229875,49.315638888888884,LP 191-43,,00085512+4918561,,,,,,,,,,,352.85,202.29,2018A&A...616A...2L,67.7454,0.0779,,0.54,71.6,72.3,5.7,2016AJ....151..160F,14.4091,3.7831,,,,,14.8,10.864,0.022,10.32,0.021,9.98,0.018,,0.111,0.014,,s,LP 191-43
410,230,145.87474999999998,-38.56558333333333,2MA 0943-3833,,09432994-3833560,,,,,,,,,,,-95.1,-161.63,2018A&A...616A...2L,77.7151,0.091,,0.71,101.0,,,,14.7349,4.2686,,,,,15.3,10.901,0.023,10.366,0.022,10.029,0.019,,0.1,0.014,,s,2MASS J09432994-3833560
19,88,59.33324999999999,41.128499999999995,LSPM 0357+4107,,03571999+4107426,,,,,,,,,,,-204.92,-25.58,2018A&A...616A...2L,70.8564,0.1264,,0.73,93.9,73.5,2.8,2014ApJ...784..156D,14.6645,4.0701,,,,,15.2,10.903,0.023,10.299,0.02,9.949,0.019,,0.109,0.014,,s,LSPM J0357+4107
473,480,333.46033333333327,-63.702833333333324,WT 887,,22135048-6342100,,,,,,,,,,,115.67,170.39,2018A&A...616A...2L,72.0956,0.0818,,0.66,101.0,,,,14.6573,4.0859,,,,,15.2,10.923,0.025,10.296,0.023,9.938,0.023,,0.108,0.014,,s,WT 887
3,66,41.64470833333333,16.419527777777777,LHS 1443,,02463486+1625115,,,,,,,,,,,-831.31,-569.45,2018A&A...616A...2L,71.4554,0.1192,,0.68,60.8,68.5,3.5,1995gcts.book.....V,14.5789,4.0876,16.99,15.16,12.97,2019AJ....157..216W,,10.971,0.02,10.519,0.028,10.185,0.02,,0.101,0.014,,s,LHS 1443
459,314,206.6918333333333,-31.823777777777774,LP 911-56,,13464607-3149258,,,,,,,,,,,-343.36,158.62,2018A&A...616A...2L,73.2289,0.1551,,0.68,47.4,68.0,1.0,2018AJ....155..176F,14.8544,4.3237,17.52,15.51,13.28,This Work,,10.975,0.024,10.436,0.026,10.038,0.019,,0.104,0.014,,s,LP 911-56
11,76,48.551958333333324,28.677666666666664,LHS 1516,,03141241+2840411,,,,,,,,,,,311.27,-750.47,2018A&A...616A...2L,66.9947,0.1155,,0.62,52.1,78.9,1.7,2014ApJ...784..156D,14.6075,3.9124,,,,,15.1,10.993,0.018,10.426,0.019,10.092,0.018,,0.108,0.014,,s,LHS 1516
113,329,217.01737499999996,13.937027777777775,LHS 2919,,14280419+1356137,,,,,,,,,,,-365.65,-494.95,2018A&A...616A...2L,75.4469,0.1329,,0.71,50.6,82.8,4.1,2014ApJ...784..156D,14.9224,4.4267,17.64,15.6,13.33,2019AJ....157..216W,,11.014,0.021,10.39,0.015,10.026,0.02,,0.103,0.014,,s,LHS 2919
57,200,130.12366666666665,18.402388888888886,GJ 316.1,,08402975+1824091,,,,,,,,,,,-810.28,-448.98,2018A&A...616A...2L,73.7602,0.1377,,0.68,56.5,71.4,0.95,2012ApJ...758...56S 1995gcts.book.....V,15.0191,4.2467,17.67,15.72,13.44,2014AJ....147...94D,,11.053,0.022,10.419,0.023,10.046,0.018,,0.103,0.014,,s,GJ 316.1
425,224,142.84279166666664,-17.295166666666663,LP 788-1,A,09312228-1717425,AB,,0.99,...,2016,astdet,2017AJ....153...14W,,,,-367.19,-152.13,2018A&A...616A...2L,72.1829,0.2656,,1.31,188.0,71.3,0.99,2019AJ....157..216W,14.9988,4.3131,17.55,15.63,13.38,2015AJ....149....5W,,11.073,0.026,10.467,0.025,10.069,0.024,J,0.1,0.014,w,s,LP 788-1
23,115,79.22279166666665,56.671972222222216,LP 119-26,,05165345+5640195,,,,,,,,,,,140.54,-408.28,2018A&A...616A...2L,68.833,0.1092,,0.81,127.0,97.5,6.7,2014ApJ...784..156D,15.0408,4.3169,,,,,15.7,11.166,0.025,10.567,0.023,10.194,0.018,,0.103,0.014,,s,LP 119-26
